,quote_number,gender,agecat,date_of_birth,credit_score,area,traffic_index,veh_age,veh_body,veh_value,age,has_claim,prob_noclaim,prob_claim
71,27104584,M,5.0,8/3/1953,819.0,A,51.0,4,STNWG,1.342,65,0,0.8666635232790949,0.13333647672090507
72,48507344,M,2.0,8/9/1982,641.0,C,148.5,4,STNWG,1.595,36,1,0.3933789143810398,0.6066210856189602
73,57866149,F,4.0,3/19/1967,589.0,F,148.0,2,TRUCK,2.31,51,1,0.36273609607833646,0.6372639039216635
74,11415633,F,4.0,11/29/1966,745.0,B,90.1,3,SEDAN,1.694,52,0,0.7319892634625934,0.2680107365374066
75,70327794,F,2.0,6/5/1985,563.0,D,63.2,3,STNWG,2.068,33,1,0.4774448339352352,0.5225551660647648
76,11105334,F,4.0,5/17/1967,571.0,A,81.3,2,SEDAN,2.167,51,1,0.49422319625832134,0.5057768037416787
77,65559229,F,4.0,10/28/1961,413.0,C,138.0,3,SEDAN,1.067,57,1,0.17083022351991284,0.8291697764800872
78,85199557,F,3.0,11/10/1976,608.0,C,142.5,3,HBACK,0.858,42,1,0.4087272803515839,0.5912727196484161
79,41406469,F,2.0,7/22/1984,664.0,C,133.5,3,SEDAN,1.419,34,1,0.49674549980487315,0.5032545001951269
80,43949798,F,5.0,8/17/1952,818.0,F,80.0,1,SEDAN,2.211,66,0,0.8606923691139774,0.13930763088602258
81,92967674,F,6.0,5/13/1947,820.0,C,109.5,4,STNWG,1.111,71,0,0.7974255982053292,0.20257440179467082
82,82086393,F,4.0,9/8/1969,790.0,C,142.5,3,HBACK,0.968,49,0,0.7046562099932794,0.2953437900067207
83,46709328,F,1.0,6/26/1994,545.0,A,71.0,1,SEDAN,1.694,24,1,0.4837051803197707,0.5162948196802293
84,14929883,M,3.0,4/15/1974,762.0,B,121.7,3,STNWG,2.354,44,0,0.6674279055070926,0.3325720944929073
85,35646519,M,2.0,11/12/1981,540.0,A,80.1,3,HBACK,0.99,37,1,0.43497904305586577,0.5650209569441342
86,74652011,F,5.0,2/27/1951,658.0,B,144.3,4,HBACK,0.594,67,1,0.49789292483668757,0.5021070751633124
87,16000176,F,3.0,2/13/1976,789.0,C,99.0,1,SEDAN,1.98,42,0,0.7944144800231066,0.20558551997689348
88,73909866,F,2.0,1/20/1984,596.0,A,85.9,2,STNWG,2.167,34,0,0.5038533993912389,0.4961466006087612
89,72298478,F,2.0,9/6/1989,381.0,F,116.0,2,STNWG,4.004,29,1,0.12432065031324535,0.8756793496867546
90,92648877,F,4.0,1/2/1969,652.0,D,71.1,2,STNWG,4.092,49,0,0.5944292150360884,0.4055707849639117
91,15848848,M,2.0,3/27/1989,532.0,C,87.0,2,STNWG,3.729,29,1,0.3474381511808373,0.6525618488191627
92,40278217,M,3.0,12/22/1978,699.0,C,115.5,2,HBACK,1.628,40,0,0.625036361940877,0.3749636380591231
93,63561688,M,2.0,5/26/1980,761.0,E,37.5,3,HBACK,2.156,38,0,0.8170256489639581,0.1829743510360419
94,10929818,F,2.0,9/26/1985,632.0,E,108.0,3,UTE,1.529,33,0,0.5003602980227375,0.4996397019772625
95,77870383,M,5.0,1/25/1952,721.0,C,142.5,2,UTE,2.86715,66,0,0.5942324329070405,0.4057675670929595
96,78917838,M,2.0,11/30/1985,686.0,B,130.7,3,SEDAN,1.573,33,0,0.5344919109030739,0.46550808909692604
97,10171390,F,5.0,10/23/1959,738.0,A,53.1,2,HBACK,1.155,59,0,0.8210775147212724,0.17892248527872756
98,72663415,F,3.0,10/22/1974,697.0,B,156.5,2,SEDAN,1.87,44,0,0.5232999145972811,0.4767000854027189
99,44383766,M,6.0,5/5/1930,420.0,B,123.9,4,HBACK,0.803,88,1,0.21028309635099784,0.7897169036490022
100,81926793,F,3.0,12/25/1973,763.0,C,147.0,2,HBACK,2.035,45,0,0.6483976892197526,0.3516023107802474
101,20721973,F,3.0,2/28/1973,753.0,E,61.5,4,STNWG,1.177,45,0,0.7771697712993361,0.22283022870066396
102,54181021,M,6.0,9/6/1939,401.0,B,112.6,2,SEDAN,3.707,79,1,0.181953052400046,0.818046947599954
103,70304625,M,1.0,6/28/1995,669.0,C,139.5,3,UTE,2.398,23,1,0.44859748073774663,0.5514025192622534
104,19963804,F,2.0,6/9/1981,658.0,A,72.2,2,HBACK,3.927,37,0,0.5918499775164818,0.4081500224835182
105,38394897,F,3.0,11/30/1975,631.0,B,127.6,3,STNWG,1.21,43,1,0.4730983739949035,0.5269016260050965
106,10448558,M,5.0,11/24/1954,707.0,B,133.4,2,HBACK,1.43,64,0,0.6303355218130807,0.3696644781869193
107,37603607,F,2.0,4/4/1981,828.0,A,79.5,2,SEDAN,2.101,37,0,0.839036499289868,0.16096350071013202
108,34005115,F,4.0,8/29/1964,816.0,A,58.3,2,SEDAN,1.606,54,0,0.8718675471019871,0.1281324528980129
109,31658603,F,1.0,9/6/1999,487.0,C,145.5,2,HBACK,1.144,19,1,0.2237771852828948,0.7762228147171052
110,48138156,M,5.0,11/14/1950,833.0,B,135.2,3,HBACK,2.068,68,0,0.7673252988329216,0.23267470116707847
113,51348377,F,5.0,7/1/1952,798.0,C,139.5,3,HDTOP,2.277,66,0,0.7075269064961873,0.2924730935038127
114,55612617,F,2.0,12/25/1986,655.0,C,133.5,3,SEDAN,1.925,32,1,0.46451161297220533,0.5354883870277947
115,13268542,F,2.0,11/12/1980,664.0,D,65.4,3,UTE,2.904,38,0,0.6203358207773495,0.3796641792226505
116,48194585,F,2.0,10/31/1983,757.0,C,148.5,4,SEDAN,1.056,35,0,0.5988080005307159,0.401191999469284
118,66989511,F,1.0,12/18/1996,690.0,D,120.5,3,HBACK,1.012,22,0,0.568181498156489,0.43181850184351106
119,69882254,M,2.0,6/8/1985,643.0,F,126.0,3,STNWG,2.651,33,1,0.44279342978706726,0.5572065702129327
120,88382985,M,1.0,4/6/1994,632.0,B,103.4,1,UTE,3.487,24,1,0.49857630394786157,0.5014236960521384
122,85514313,F,3.0,6/13/1973,605.0,A,99.8,1,SEDAN,2.024,45,0,0.5308127568998415,0.4691872431001584
123,94342584,F,3.0,2/1/1973,591.0,D,111.3,3,HBACK,0.737,45,1,0.46191410739890093,0.5380858926010991
124,78176156,M,6.0,5/21/1939,363.0,C,133.5,3,HBACK,1.1,79,1,0.14610420435232685,0.8538957956476732
125,11353272,M,5.0,12/23/1955,764.0,A,109.2,4,UTE,0.682,63,0,0.7328610836092992,0.26713891639070075
126,59614362,M,3.0,10/27/1970,800.0,E,13.5,3,UTE,2.53,48,0,0.8802416123249969,0.11975838767500316
127,28239650,F,6.0,6/29/1935,845.0,A,43.2,2,HBACK,1.573,83,0,0.9171943551762699,0.08280564482373008
128,20523110,M,6.0,1/18/1948,634.0,E,15.0,4,HBACK,0.847,70,0,0.7436343738727291,0.2563656261272709
129,80428995,M,3.0,3/9/1979,473.0,E,24.0,3,UTE,1.738,39,1,0.438981297494243,0.561018702505757
130,20015363,F,6.0,2/19/1932,824.0,D,100.6,4,SEDAN,0.385,86,0,0.8378149011372662,0.16218509886273386
131,44631409,F,5.0,7/22/1955,731.0,C,136.5,2,HBACK,1.21,63,0,0.6648395727265524,0.3351604272734477
132,74064789,F,5.0,1/12/1958,765.0,C,135.0,3,SEDAN,1.463,60,0,0.6838501068467926,0.31614989315320746
133,49417450,M,5.0,9/12/1953,803.0,A,86.3,1,SEDAN,3.058,65,0,0.8257873395925898,0.1742126604074102
134,16424619,M,4.0,7/22/1963,517.0,C,144.0,4,SEDAN,0.385,55,1,0.2722193607778898,0.7277806392221102
135,72786390,F,5.0,11/2/1956,817.0,C,148.5,3,SEDAN,1.276,62,0,0.7350921675803934,0.2649078324196066
136,86552604,F,5.0,6/5/1958,798.0,E,46.5,4,TRUCK,1.441,60,0,0.8504933996564378,0.1495066003435622
137,28941629,M,5.0,3/4/1953,516.0,B,128.3,4,HBACK,0.484,65,1,0.3099199213751833,0.6900800786248167
138,68697160,F,5.0,5/9/1951,804.0,D,84.0,1,SEDAN,2.255,67,0,0.8440441832360808,0.15595581676391926
139,62677627,F,6.0,7/15/1946,806.0,D,101.3,2,SEDAN,1.617,72,0,0.8210371856519182,0.17896281434808178
140,15799774,M,4.0,12/2/1968,722.0,B,126.6,3,HBACK,0.913,50,0,0.6410188599671571,0.3589811400328429
141,63810777,M,5.0,12/15/1955,846.0,A,77.1,3,TRUCK,0.825,63,0,0.8767047238956649,0.1232952761043351
142,39204707,M,6.0,8/2/1925,775.0,E,19.5,2,HBACK,1.155,93,0,0.9058482623348975,0.09415173766510253
143,33181980,F,2.0,4/5/1981,621.0,A,60.0,3,HBACK,2.761,37,0,0.5664388536726038,0.4335611463273962
144,55082550,M,3.0,4/20/1975,496.0,A,91.8,1,HBACK,2.046,43,1,0.36803354051884496,0.631966459481155
145,27273679,F,5.0,7/15/1956,529.0,C,130.5,4,MIBUS,1.353,62,1,0.2991920072954012,0.7008079927045988
146,96313099,M,1.0,7/30/1997,344.0,C,93.0,1,SEDAN,18.359,21,1,0.027053914928269918,0.9729460850717301
147,89246286,F,4.0,6/25/1969,319.0,B,90.1,3,STNWG,1.749,49,1,0.1341163491154389,0.8658836508845611
148,73771603,F,5.0,8/3/1952,544.0,A,88.7,2,SEDAN,1.496,66,1,0.46943014910864667,0.5305698508913533
149,20625440,F,3.0,5/8/1975,505.0,E,28.5,1,STNWG,5.203,43,1,0.4408042445650856,0.5591957554349144
150,94586276,M,2.0,3/19/1983,751.0,C,142.5,1,HBACK,1.573,35,0,0.6660686401319895,0.3339313598680105
152,95191686,F,5.0,2/6/1952,825.0,C,144.0,2,HBACK,1.914,66,0,0.7638156234407796,0.23618437655922037
153,35918893,F,3.0,11/5/1976,694.0,B,131.5,3,SEDAN,0.979,42,0,0.5739307586151816,0.42606924138481844
154,82706356,M,2.0,10/1/1983,596.0,D,74.7,4,PANVN,0.605,35,0,0.5222950428126698,0.47770495718733014
155,42533443,M,4.0,7/30/1963,825.0,A,54.0,3,SEDAN,1.133,55,0,0.8774632453039752,0.12253675469602476
156,22450805,F,4.0,4/26/1964,456.0,B,110.1,3,SEDAN,4.708,54,1,0.18803147315498125,0.8119685268450187
157,47824530,M,2.0,9/8/1986,552.0,C,112.5,3,STNWG,2.552,32,1,0.3315127248977696,0.6684872751022304
158,40200256,F,2.0,8/21/1981,820.0,B,145.5,1,HBACK,1.496,37,0,0.7580036085158903,0.24199639148410973
159,61817933,F,4.0,6/24/1969,798.0,A,61.7,4,SEDAN,2.178,49,0,0.8101745564291407,0.18982544357085934
160,84125015,F,4.0,5/22/1962,537.0,E,33.0,1,HBACK,1.77573,56,0,0.5980228342958862,0.40197716570411385
161,57019248,F,3.0,10/1/1979,521.0,C,141.0,4,HBACK,0.561,39,1,0.2635692275094016,0.7364307724905984
162,74817701,M,4.0,12/23/1970,801.0,B,134.2,3,MIBUS,2.816,48,0,0.6905134767294219,0.30948652327057813
163,73731136,M,5.0,4/13/1959,494.0,C,130.5,1,HBACK,1.441,59,1,0.3147923441010081,0.6852076558989919
164,23973760,F,4.0,11/24/1970,616.0,B,135.9,4,STNWG,0.715,48,1,0.42154892277162825,0.5784510772283717
165,24098660,M,5.0,8/5/1957,652.0,C,127.5,3,TRUCK,2.365,61,1,0.49699577151592134,0.5030042284840787
166,64879452,M,3.0,7/1/1970,574.0,D,126.4,3,UTE,3.509,48,1,0.327185042585049,0.672814957414951
167,58284487,M,2.0,6/13/1986,494.0,A,82.7,1,HBACK,1.507,32,1,0.38752585908315895,0.612474140916841
168,37867263,F,3.0,6/20/1977,424.0,E,114.0,1,HBACK,1.606,41,1,0.23236715922118145,0.7676328407788185
169,67194847,F,4.0,5/11/1963,536.0,E,48.0,3,HBACK,0.88,55,0,0.5308789607622701,0.46912103923772985
170,50210352,F,4.0,8/6/1968,684.0,D,74.0,1,SEDAN,2.585,50,0,0.7026690417580777,0.2973309582419224
171,31917752,M,3.0,7/16/1970,757.0,C,120.0,2,HBACK,2.937,48,0,0.6774623048624837,0.32253769513751634
172,39740515,F,5.0,2/25/1950,616.0,F,124.0,3,STNWG,2.717,68,1,0.44389694558310133,0.5561030544168987
174,79791070,M,5.0,1/21/1951,805.0,C,78.0,2,SEDAN,2.101,67,0,0.8402918570811134,0.15970814291888658
175,43512392,M,2.0,4/29/1989,714.0,E,24.0,3,STNWG,2.266,29,0,0.7781601052951814,0.22183989470481852
176,24324374,F,4.0,11/5/1967,686.0,C,148.5,3,HBACK,1.133,51,0,0.5266915066557807,0.47330849334421926
177,98513412,F,2.0,1/8/1988,846.0,A,88.3,1,SEDAN,3.575,30,0,0.8306860634030142,0.16931393659698576
178,10568954,M,4.0,3/21/1961,842.0,E,51.0,3,STNWG,3.498,57,0,0.8635401643063042,0.13645983569369577
179,32360741,F,2.0,4/14/1987,804.0,C,135.0,4,SEDAN,0.55,31,0,0.7077325925968068,0.29226740740319324
180,75580474,M,2.0,10/26/1980,555.0,F,84.0,2,STNWG,4.246,38,1,0.38619382919541345,0.6138061708045865
181,99634626,M,3.0,3/26/1971,705.0,A,86.5,4,UTE,1.98,47,0,0.6463494399313083,0.3536505600686917
182,38536613,F,1.0,6/10/1999,485.0,D,98.9,1,HBACK,1.782,19,1,0.31629490198057575,0.6837050980194243
184,18359922,F,4.0,1/1/1960,611.0,C,96.0,3,HBACK,1.375,58,0,0.5296498214610199,0.47035017853898015
186,34194368,F,2.0,6/30/1984,799.0,A,71.9,4,SEDAN,0.759,34,0,0.8101093900769871,0.18989060992301293
187,18313450,M,3.0,3/11/1979,530.0,C,135.0,3,SEDAN,1.419,39,1,0.2893103200381989,0.7106896799618011
188,94070006,F,1.0,4/22/1998,428.0,A,53.2,1,STNWG,5.7596,20,1,0.23681533635474528,0.7631846636452547
189,48224116,F,4.0,2/23/1964,802.0,E,37.5,1,SEDAN,2.629,54,0,0.8824861578724731,0.11751384212752687
190,24451054,M,3.0,5/24/1972,747.0,C,144.0,2,HBACK,1.716,46,0,0.6401903343538573,0.3598096656461427
191,98686915,F,3.0,2/24/1976,677.0,C,106.5,3,SEDAN,0.913,42,0,0.6066717805885264,0.3933282194114735
192,79411814,M,6.0,6/21/1930,359.0,B,127.9,3,SEDAN,1.705,88,1,0.14626283561634668,0.8537371643836533
194,70076220,F,2.0,10/22/1987,560.0,B,116.5,1,SEDAN,1.925,31,1,0.4021419551036799,0.5978580448963201
195,77107689,F,4.0,5/25/1961,589.0,D,74.5,2,HBACK,1.518,57,0,0.5667057152386991,0.43329428476130094
196,99404606,F,4.0,2/13/1962,770.0,C,133.5,2,HBACK,1.573,56,0,0.7104588719020517,0.2895411280979483
197,63804868,M,4.0,2/25/1967,569.0,C,93.0,3,HBACK,1.045,51,1,0.46772561460829465,0.5322743853917054
198,33714793,F,5.0,7/18/1959,784.0,C,99.0,2,HBACK,1.441,59,0,0.7948868781207669,0.20511312187923317
199,14816803,M,2.0,12/23/1986,518.0,B,120.1,1,HBACK,1.595,32,1,0.33879720555111414,0.6612027944488859
200,29483334,F,6.0,1/12/1939,556.0,B,120.1,3,HBACK,0.781,79,1,0.4235219773366572,0.5764780226633428
201,80913949,F,4.0,1/17/1963,541.0,C,142.5,2,HBACK,2.035,55,1,0.31444330105105556,0.6855566989489444
203,92325500,F,6.0,4/15/1948,707.0,C,120.0,3,SEDAN,1.617,70,0,0.6364760531518279,0.3635239468481721
204,38645491,M,6.0,12/8/1949,704.0,B,123.3,2,SEDAN,1.991,69,0,0.638852387973875,0.361147612026125
205,62878341,F,2.0,8/15/1982,628.0,A,76.5,3,SEDAN,2.013,36,0,0.5590253625910102,0.4409746374089898
206,80266095,M,4.0,6/18/1967,601.0,B,72.1,2,STNWG,3.41,51,0,0.530257901420718,0.469742098579282
207,34661665,M,1.0,12/28/1995,664.0,E,22.5,4,UTE,1.969,23,0,0.6961958447454331,0.30380415525456694
208,44227313,M,2.0,8/19/1982,648.0,A,84.6,4,UTE,1.144,36,0,0.5703704412080626,0.4296295587919375
209,55754919,F,5.0,10/8/1958,805.0,D,90.5,3,HDTOP,1.694,60,0,0.8087190587818545,0.19128094121814557
210,76942868,M,5.0,3/16/1956,788.0,B,123.1,3,SEDAN,1.661,62,0,0.7363357956236886,0.26366420437631144
211,84950915,M,6.0,8/19/1935,656.0,C,129.0,2,SEDAN,1.705,83,0,0.573745187506139,0.42625481249386105
212,92958954,F,5.0,2/16/1952,801.0,D,50.8,1,STNWG,5.214,66,0,0.8373544859423294,0.16264551405767064
213,39374834,M,4.0,8/29/1964,763.0,C,142.5,4,SEDAN,0.759,54,0,0.6518933364192185,0.3481066635807815
214,11132347,F,2.0,10/31/1988,826.0,C,139.5,2,STNWG,2.409,30,0,0.7286317926847172,0.2713682073152828
215,81071511,M,2.0,8/29/1983,601.0,D,82.5,2,STNWG,1.771,35,0,0.5331695568309673,0.4668304431690326
216,40669357,F,2.0,3/27/1982,723.0,B,158.7,3,HBACK,0.968,36,0,0.5500149435819737,0.44998505641802633
217,85954845,F,1.0,5/26/1991,326.0,A,80.1,2,SEDAN,1.606,27,1,0.15405586933649296,0.845944130663507
218,78232870,F,2.0,3/2/1989,597.0,C,76.5,2,HBACK,1.386,29,0,0.5447037492449356,0.45529625075506447
219,26810315,F,2.0,2/2/1981,407.0,B,93.6,4,STNWG,2.145,37,1,0.1784405963250928,0.8215594036749072
220,25940777,F,3.0,8/2/1978,818.0,D,73.1,2,STNWG,2.937,40,0,0.8268195134896508,0.17318048651034923
221,97915114,F,4.0,11/11/1964,723.0,C,147.0,1,HBACK,1.628,54,0,0.6335533717031199,0.3664466282968801
222,64929252,F,5.0,10/14/1950,839.0,C,109.5,3,HBACK,1.463,68,0,0.8252308142761322,0.17476918572386776
223,12280684,F,1.0,11/9/1990,706.0,F,126.0,4,HBACK,0.396,28,0,0.5791130863779995,0.4208869136220005
224,60302581,F,3.0,6/17/1977,599.0,C,129.0,3,SEDAN,1.661,41,1,0.4018474876101129,0.5981525123898871
225,53821655,F,3.0,4/11/1978,772.0,D,129.6,1,TRUCK,4.125,40,0,0.664232225835162,0.33576777416483805
226,64919069,F,1.0,1/10/1991,531.0,F,140.0,1,HBACK,1.4839,27,1,0.31309532114217253,0.6869046788578275
227,28660202,M,6.0,7/15/1938,442.0,D,81.6,4,PANVN,0.33,80,1,0.3203715734738767,0.6796284265261233
228,92386264,M,5.0,3/7/1957,805.0,F,88.0,4,STNWG,1.441,61,0,0.8005138980141371,0.19948610198586297
229,92016100,M,6.0,4/28/1935,603.0,A,81.9,4,STNWG,1.397,83,0,0.5527656248737854,0.44723437512621456
231,98173698,F,4.0,11/29/1968,404.0,D,169.4,4,HBACK,0.429,50,1,0.11772493994550992,0.8822750600544901
232,21108990,M,4.0,12/27/1963,634.0,D,63.1,3,STNWG,2.761,55,0,0.6019287128264379,0.39807128717356205
233,66172197,F,2.0,10/16/1982,771.0,C,138.0,2,SEDAN,1.793,36,0,0.6761358621485216,0.32386413785147833
